nohup: ignoring input
 INFO  Accepting connections at http://localhost:4173
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:16 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:26 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:26 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:27 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:28 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:29 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:01:30 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:01:30 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:03 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:04 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:05 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:06 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:06 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:06 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:06 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:06 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:06 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:10 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:10 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:10 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:10 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:11 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:12 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:02:13 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:43 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:44 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 8:08:45 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 8:20:09 PM 127.0.0.1 GET /
 HTTP  6/4/2025 8:20:09 PM 127.0.0.1 Returned 404 in 2 ms
 HTTP  6/4/2025 8:20:09 PM 127.0.0.1 GET /favicon.ico
 HTTP  6/4/2025 8:20:09 PM 127.0.0.1 Returned 404 in 2 ms
 HTTP  6/4/2025 8:31:03 PM ::1 GET /auth
 HTTP  6/4/2025 8:31:03 PM ::1 Returned 404 in 1 ms
 HTTP  6/4/2025 8:39:18 PM 127.0.0.1 GET /oauth/
 HTTP  6/4/2025 8:39:18 PM 127.0.0.1 Returned 404 in 2 ms
